Trials with delta >= 0.1, sorted by descending absolute time delta
Win rate in t1.txt: 39.78%
Win rate in t2.txt: 39.78%
Format: seed, won, time1, time2, delta
{'seed': 7615789999915491912, 'won': True, 'time1': 0.13546991348266602, 'time2': 0.5643341541290283, 'delta': 0.4288642406463623}
{'seed': 6294547024868784274, 'won': True, 'time1': 0.6190690994262695, 'time2': 1.0473599433898926, 'delta': 0.42829084396362305}
{'seed': 7298291522304179054, 'won': False, 'time1': 2.410508871078491, 'time2': 2.8386380672454834, 'delta': 0.4281291961669922}
{'seed': 104110232496271142, 'won': False, 'time1': 0.22018694877624512, 'time2': 0.6481108665466309, 'delta': 0.42792391777038574}
{'seed': 6229587522815824734, 'won': False, 'time1': 0.2351069450378418, 'time2': 0.6627399921417236, 'delta': 0.42763304710388184}
{'seed': 1330267402551953641, 'won': True, 'time1': 0.541780948638916, 'time2': 0.9692397117614746, 'delta': 0.4274587631225586}
{'seed': 723648595264764199, 'won': True, 'time1': 0.8235719203948975, 'time2': 1.2479419708251953, 'delta': 0.42437005043029785}
{'seed': 1635099867367613460, 'won': False, 'time1': 2.5701098442077637, 'time2': 2.1479451656341553, 'delta': 0.4221646785736084}
{'seed': 6338317706565923641, 'won': True, 'time1': 2.9493801593780518, 'time2': 3.3712451457977295, 'delta': 0.42186498641967773}
{'seed': 6773186033918418582, 'won': False, 'time1': 0.1096181869506836, 'time2': 0.5289731025695801, 'delta': 0.4193549156188965}
{'seed': 8658411845422212638, 'won': True, 'time1': 0.12597179412841797, 'time2': 0.5448601245880127, 'delta': 0.4188883304595947}
{'seed': 7274623834567731449, 'won': True, 'time1': 0.29676079750061035, 'time2': 0.7034509181976318, 'delta': 0.4066901206970215}
{'seed': 7868303262460647350, 'won': False, 'time1': 1.3801660537719727, 'time2': 0.9762461185455322, 'delta': 0.40391993522644043}
{'seed': 2993215517474252727, 'won': True, 'time1': 0.15476417541503906, 'time2': 0.5572910308837891, 'delta': 0.40252685546875}
{'seed': 4170002751250601882, 'won': False, 'time1': 0.19174671173095703, 'time2': 0.5923130512237549, 'delta': 0.40056633949279785}
{'seed': 4831998980874626938, 'won': False, 'time1': 1.042881727218628, 'time2': 1.440377950668335, 'delta': 0.39749622344970703}
{'seed': 7491552802060010197, 'won': False, 'time1': 1.6407129764556885, 'time2': 2.037278890609741, 'delta': 0.39656591415405273}
{'seed': 5930097448412145727, 'won': False, 'time1': 1.7579782009124756, 'time2': 2.153465747833252, 'delta': 0.39548754692077637}
{'seed': 2211896910345051263, 'won': True, 'time1': 0.13550806045532227, 'time2': 0.5294449329376221, 'delta': 0.3939368724822998}
{'seed': 1594383455214399178, 'won': True, 'time1': 1.1044518947601318, 'time2': 1.4976389408111572, 'delta': 0.3931870460510254}
{'seed': 4040985472763806811, 'won': True, 'time1': 0.28400683403015137, 'time2': 0.6739702224731445, 'delta': 0.38996338844299316}
{'seed': 760503731811678845, 'won': True, 'time1': 1.2544918060302734, 'time2': 1.6439728736877441, 'delta': 0.3894810676574707}
{'seed': 4125844668567436035, 'won': True, 'time1': 1.4323270320892334, 'time2': 1.8193459510803223, 'delta': 0.38701891899108887}
{'seed': 1449610650383357175, 'won': True, 'time1': 0.9934341907501221, 'time2': 1.3776907920837402, 'delta': 0.38425660133361816}
{'seed': 6923258538406448489, 'won': False, 'time1': 0.6478269100189209, 'time2': 1.0289881229400635, 'delta': 0.3811612129211426}
{'seed': 1329782074861786946, 'won': True, 'time1': 0.21303105354309082, 'time2': 0.5916011333465576, 'delta': 0.3785700798034668}
{'seed': 5719051374562838455, 'won': True, 'time1': 0.3281128406524658, 'time2': 0.7063848972320557, 'delta': 0.37827205657958984}
